Date,EM (EMERGING MARKETS)
1998-12,99.99999999999999
1999-01,101.7307246462115
1999-02,106.26664991415143
1999-03,122.29357750781242
1999-04,140.23605479004334
1999-05,141.43906541712965
1999-06,159.26286421074263
1999-07,149.29030020765964
1999-08,152.64555310605775
1999-09,146.27477859578758
1999-10,151.36492521965926
1999-11,172.16914608560242
1999-12,194.94672441820543
2000-01,200.91915542963642
2000-02,206.87135483304763
2000-03,209.1518897101978
2000-04,198.8100796237225
2000-05,187.2720936717632
2000-06,187.5685538638959
2000-07,184.05688188331865
2000-08,192.7738779070803
2000-09,177.2575791579754
2000-10,171.16553127658636
2000-11,152.09097413526936
2000-12,144.42298431960324
2001-01,165.882473808576
2001-02,154.61460110165348
2001-03,145.0432132037333
2001-04,151.7722818423803
2001-05,160.6417610933838
2001-06,157.5393283161575
2001-07,142.79379009774567
2001-08,136.1868102396847
2001-09,114.81078337347515
2001-10,123.28959096215057
2001-11,136.97498357422515
2001-12,148.66949490884622
2002-01,158.9745219743169
2002-02,160.82017423704139
2002-03,169.0475984442558
2002-04,164.7257077573222
2002-05,156.3493663474939
2002-06,136.80725869182982
2002-07,127.33067912285638
2002-08,129.2529232199758
2002-09,114.42678224423419
2002-10,121.59962249664768
2002-11,129.38814371526928
2002-12,118.57499696038163
2003-01,115.40816283418432
2003-02,111.84538371140202
2003-03,107.33952309634718
2003-04,114.30275008628666
2003-05,116.2412896110504
2003-06,125.84068286930764
2003-07,136.43056031488038
2003-08,149.25429834648756
2003-09,141.7437868195663
2003-10,154.07702087309457
2003-11,151.26027322994148
2003-12,154.16835721749888
2004-01,162.0915936281417
2004-02,169.54178373612402
2004-03,173.62053699174174
2004-04,163.43555610281504
2004-05,157.27772754180904
2004-06,158.5804663280339
2004-07,157.4196363016782
2004-08,162.47759631220586
2004-09,168.16724559880035
2004-10,168.12811220159975
2004-11,175.82241556494554
2004-12,180.19236729713813
2005-01,188.48650980644206
2005-02,201.3609496697711
2005-03,192.10401902653686
2005-04,188.2440029974606
2005-05,203.74147380407112
2005-06,214.97009117668588
2005-07,229.4229211797961
2005-08,228.6271361637863
2005-09,254.96285227577948
2005-10,239.87649469000593
2005-11,263.8794319673903
2005-12,279.36896926770714
2006-01,301.8508777044466
2006-02,307.13889869834435
2006-03,305.30842154385704
2006-04,314.24239319187365
2006-05,275.95096458404873
2006-06,276.6148888000453
2006-07,281.23262629961226
2006-08,287.65955419181023
2006-09,293.1231647486221
2006-10,304.75166962038224
2006-11,315.29452548824764
2006-12,331.2458869667328
2007-01,332.7450365024104
2007-02,325.4331607242685
2007-03,335.8758174467334
2007-04,343.19590633883524
2007-05,365.06645663240425
2007-06,380.9470037215325
2007-07,395.88011329797797
2007-08,389.1888761456655
2007-09,414.3017913635173
2007-10,452.7064401291519
2007-11,414.58886301137477
2007-12,417.72809907613964
2008-01,361.13858931236706
2008-02,378.34384380112385
2008-03,343.32818627651415
2008-04,377.83915682218367
2008-05,385.6645272545341
2008-06,342.5046609637927
2008-07,333.0909054162371
2008-08,324.919962475379
2008-09,280.99516951173456
2008-10,226.12401111643362
2008-11,208.97797560856873
2008-12,205.69548271346025
2009-01,208.80106833617134
2009-02,198.83362934495202
2009-03,217.55951612765028
2009-04,254.29493632521522
2009-05,278.87882917305177
2009-06,277.68868983282846
2009-07,305.82039543033704
2009-08,301.13324961152176
2009-09,322.5270068159091
2009-10,319.94605184174054
2009-11,327.9487399106364
2009-12,356.76651256036297
2010-01,347.78619465983655
2010-02,355.5421664223686
2010-03,387.5685439109943
2010-04,399.2704292058088
2010-05,394.7871288776746
2010-06,392.6433954231904
2010-07,400.16941647671683
2010-08,402.3694148773581
2010-09,416.2695379151247
2010-10,420.7797094737891
2010-11,437.43180834092175
2010-12,454.79323368250033
2011-01,433.0348016918499
2011-02,425.8919279317612
2011-03,438.9541099118886
2011-04,432.98608493746787
2011-05,435.2978787101709
2011-06,425.16171775211563
2011-07,427.3504176689691
2011-08,388.56025770679645
2011-09,356.24858027058207
2011-10,388.1113491610577
2011-11,375.3585060019602
2011-12,384.5837442932773
2012-01,424.7139305730048
2012-02,440.58991059491
2012-03,427.8510614851942
2012-04,425.46047573801957
2012-05,404.5935079837104
2012-06,409.5995688431645
2012-07,430.6088914295143
2012-08,419.5031468594126
2012-09,435.9082655891129
2012-10,430.19888081939376
2012-11,434.08435506796786
2012-12,449.21340840207745
2013-01,442.39019595194236
2013-02,453.62171796686977
2013-03,453.9806438347922
2013-04,445.67573428192173
2013-05,441.96048906246136
2013-06,412.80833033407816
2013-07,408.54429461615155
2013-08,404.5060134996285
2013-09,419.7814287133182
2013-10,438.34352619722335
2013-11,431.317802368881
2013-12,420.05736609246753
2014-01,401.43917981621547
2014-02,405.03039172120526
2014-03,418.4327109619814
2014-04,417.47651429217336
2014-05,439.1106693664429
2014-06,449.4608861248584
2014-07,469.1956350869772
2014-08,487.5356808986479
2014-09,470.78159831179477
2014-10,480.3225274918137
2014-11,477.6536574791939
2014-12,469.6540381028401
2015-01,506.67539143521947
2015-02,525.5918416129218
2015-03,541.2150364282567
2015-04,558.7600609665312
2015-05,548.3343164263036
2015-06,525.9480163925049
2015-07,493.958255976741
2015-08,443.17561688840965
2015-09,431.6387854874264
2015-10,467.31479636712476
2015-11,469.74180616514076
2015-12,446.78221617468785
2016-01,419.46371617464547
2016-02,417.0889055090156
2016-03,450.4145033265031
2016-04,450.65853993603093
2016-05,446.4493251646201
2016-06,465.69376476608744
2016-07,486.2021717397912
2016-08,500.4605944936539
2016-09,502.5101798245693
2016-10,516.4360069676455
2016-11,509.13717235305944
2016-12,513.542408567744
2017-01,528.6639892238177
2017-02,554.1694728163615
2017-03,564.6047277911257
2017-04,566.8013031657292
2017-05,565.2243838343549
2017-06,563.2585832430449
2017-07,577.8075167817499
2017-08,585.9910467370685
2017-09,587.1024406929072
2017-10,616.7198195085776
2017-11,603.7902309007972
2017-12,621.3745727060868
2018-01,648.9190895068208
2018-02,632.3318379592698
2018-03,615.5888056739078
2018-04,623.9636920046014
2018-05,623.0964334506184
2018-06,597.4944555622883
2018-07,609.8404498437777
2018-08,596.8713083286094
