Date,AC ASIA ex JAPAN+CHINA A ONSHORE
2013-09,2335.2963194161307
2013-10,2395.1878191614796
2013-11,2412.5223135341766
2013-12,2344.294707642946
2014-01,2278.2094389997096
2014-02,2273.634616673667
2014-03,2281.8284611392137
2014-04,2278.132720308478
2014-05,2391.7285679911715
2014-06,2438.601045500176
2014-07,2621.3285424226
2014-08,2680.0889609997303
2014-09,2698.773902649182
2014-10,2778.7420691130305
2014-11,2864.9551945667354
2014-12,3061.012123074137
2015-01,3319.7141224720394
2015-02,3426.366230211786
2015-03,3764.1679301138697
2015-04,3987.460189397301
2015-05,4077.362767684327
2015-06,3794.596467200736
2015-07,3466.879662877139
2015-08,3025.9213336349044
2015-09,2947.900941636388
2015-10,3257.697599616547
2015-11,3332.9728438116954
2015-12,3265.561717120255
2016-01,2806.1361806954396
2016-02,2762.1839405219753
2016-03,2954.493920245356
2016-04,2895.6446806795993
2016-05,2934.584748182328
2016-06,2998.9662190470103
2016-07,3093.7398982924797
2016-08,3212.810326705598
2016-09,3198.2939549443204
2016-10,3252.7331994236474
2017-04,3479.282899
2017-05,3471.543879
2017-06,3526.897005
2017-07,3574.453489
2017-08,3623.929267
2017-09,3646.858155
2017-10,3854.228077
2017-11,3749.889843
2017-12,3809.907151
2018-01,3947.539487
2018-02,3811.969479
2018-03,3717.028044
2018-04,3739.6474502551423
2018-05,3818.552069312038
