Date,DENMARK
1969-12,100.0
1970-01,100.541
1970-02,98.964
1970-03,96.504
1970-04,92.867
1970-05,89.245
1970-06,89.314
1970-07,85.979
1970-08,90.529
1970-09,87.448
1970-10,89.554
1970-11,90.829
1970-12,91.702
1971-01,92.721
1971-02,90.387
1971-03,87.398
1971-04,87.621
1971-05,86.712
1971-06,87.011
1971-07,91.518
1971-08,95.344
1971-09,96.082
1971-10,95.997
1971-11,93.509
1971-12,99.001
1972-01,104.916
1972-02,108.751
1972-03,108.10000000000001
1972-04,114.758
1972-05,125.488
1972-06,137.994
1972-07,140.262
1972-08,143.873
1972-09,141.862
1972-10,176.801
1972-11,187.581
1972-12,207.594974
1973-01,233.239
1973-02,245.192
1973-03,240.54
1973-04,245.672
1973-05,258.387
1973-06,284.394
1973-07,297.234
1973-08,275.387
1973-09,265.507
1973-10,263.04
1973-11,217.908
1973-12,216.59
1974-01,204.127
1974-02,208.852
1974-03,195.059
1974-04,200.669
1974-05,195.973
1974-06,187.764
1974-07,178.968
1974-08,161.681
1974-09,167.055
1974-10,172.427
1974-11,169.781
1974-12,190.036
1975-01,203.031
1975-02,213.169
1975-03,201.704
1975-04,219.314
1975-05,229.151
1975-06,223.722
1975-07,215.549
1975-08,217.547
1975-09,210.976
1975-10,229.344
1975-11,228.176
1975-12,231.793
1976-01,248.033
1976-02,239.519
1976-03,238.653
1976-04,241.165
1976-05,246.955
1976-06,256.026
1976-07,259.439
1976-08,259.735
1976-09,254.731
1976-10,245.633
1976-11,234.968
1976-12,244.898
1977-01,242.848
1977-02,255.665
1977-03,260.026
1977-04,254.814
1977-05,251.365
1977-06,250.086
1977-07,243.669
1977-08,239.625
1977-09,241.605
1977-10,243.263
1977-11,230.982
1977-12,246.84
1978-01,250.441
1978-02,260.724
1978-03,255.582
1978-04,248.066
1978-05,249.736
1978-06,251.061
1978-07,263.104
1978-08,266.477
1978-09,265.112
1978-10,282.221
1978-11,258.308
1978-12,265.567
1979-01,278.396
1979-02,279.765
1979-03,280.939
1979-04,276.548
1979-05,263.675
1979-06,269.318
1979-07,277.27
1979-08,274.919
1979-09,274.893
1979-10,260.954
1979-11,266.569
1979-12,254.536
1980-01,243.415
1980-02,231.668
1980-03,206.471
1980-04,218.94
1980-05,224.047
1980-06,233.774
1980-07,246.998
1980-08,250.634
1980-09,271.142
1980-10,296.542
1980-11,293.502
1980-12,293.861
1981-01,298.502
1981-02,296.2
1981-03,308.354
1981-04,308.577
1981-05,310.412
1981-06,328.985
1981-07,316.133
1981-08,327.532
1981-09,322.868
1981-10,355.274
1981-11,362.519
1981-12,362.999
1982-01,361.043
1982-02,353.164
1982-03,325.951
1982-04,346.516
1982-05,335.413
1982-06,311.903
1982-07,318.167
1982-08,328.398
1982-09,329.132
1982-10,341.2
1982-11,333.819
1982-12,369.284
1983-01,376.533
1983-02,420.063
1983-03,476.243
1983-04,483.447
1983-05,481.939
1983-06,515.054
1983-07,514.073
1983-08,570.902
1983-09,621.283
1983-10,605.597
1983-11,600.211
1983-12,621.499
1984-01,606.823
1984-02,563.939
1984-03,531.455
1984-04,553.595
1984-05,484.722
1984-06,487.585
1984-07,478.17
1984-08,473.751
1984-09,414.463
1984-10,400.288
1984-11,400.859
1984-12,398.816
1985-01,431.461
1985-02,407.548
1985-03,438.65
1985-04,442.56
1985-05,461.213
1985-06,485.878
1985-07,560.153
1985-08,531.204
1985-09,551.85
1985-10,593.737
1985-11,592.697
1985-12,639.267557
1986-01,598.559211
1986-02,661.399275
1986-03,648.32599
1986-04,696.994014
1986-05,614.189514
1986-06,626.288415
1986-07,602.110756
1986-08,612.275532
1986-09,616.724149
1986-10,615.462935
1986-11,631.717791
1986-12,647.171256
1987-01,784.599746
1987-02,722.026169
1987-03,719.748588
1987-04,727.260275
1987-05,737.12164
1987-06,741.221806
1987-07,728.876145
1987-08,776.751853
1987-09,734.700653
1987-10,679.344068
1987-11,721.523407
1987-12,732.780706
1988-01,732.108023
1988-02,763.117745
1988-03,775.678251
1988-04,777.12054
1988-05,845.105629
1988-06,844.335902
1988-07,836.196067
1988-08,795.036646
1988-09,864.969134
1988-10,987.90679
1988-11,1036.101233
1988-12,1118.705954
1989-01,1114.173114
1989-02,1095.985499
1989-03,1106.678104
1989-04,1183.426493
1989-05,1152.056259
1989-06,1322.933656
1989-07,1435.695914
1989-08,1289.510269
1989-09,1322.035878
1989-10,1400.280721
1989-11,1511.903304
1989-12,1610.24154
1990-01,1656.014847
1990-02,1654.983279
1990-03,1735.900904
1990-04,1623.045133
1990-05,1714.837776
1990-06,1731.861149
1990-07,1864.600486
1990-08,1734.208392
1990-09,1583.109407
1990-10,1726.76666
1990-11,1649.277787
1990-12,1595.618318
1991-01,1641.032636
1991-02,1807.272766
1991-03,1644.42871
1991-04,1588.045069
1991-05,1650.056033
1991-06,1634.091289
1991-07,1748.692009
1991-08,1749.159525
1991-09,1807.844947
1991-10,1791.659374
1991-11,1755.67082
1991-12,1859.8405014999998
1992-01,1836.0473496999998
1992-02,1729.9755507999998
1992-03,1598.7754687
1992-04,1600.1854799
1992-05,1798.4655827
1992-06,1707.3699826999998
1992-07,1700.5396163999999
1992-08,1576.9440097
1992-09,1488.1791719
1992-10,1351.9860214
1992-11,1344.3200353
1992-12,1334.4776937
1993-01,1512.489001
1993-02,1444.7210619999998
1993-03,1463.0460719999999
1993-04,1536.738015
1993-05,1569.3770069999998
1993-06,1589.4422359999999
1993-07,1530.779251
1993-08,1599.7870329999998
1993-09,1656.077607
1993-10,1724.185673451434
1993-11,1672.0922870649454
1993-12,1772.3102858955715
1994-01,1925.2229578733381
1994-02,1932.3080994907402
1994-03,1905.3627883190768
