Date,EAFE ex UK
1969-12,100.0
1970-01,98.620904
1970-02,97.735515
1970-03,98.778269
1970-04,91.356109
1970-05,86.761683
1970-06,87.642381
1970-07,91.168502
1970-08,91.749029
1970-09,90.201792
1970-10,89.067814
1970-11,86.270493
1970-12,86.334102
1971-01,91.352011
1971-02,93.229473
1971-03,95.372326
1971-04,95.691772
1971-05,96.445953
1971-06,98.957734
1971-07,101.752613
1971-08,98.640102
1971-09,96.134766
1971-10,92.659753
1971-11,95.957548
1971-12,104.960091
1972-01,111.117099
1972-02,118.560976
1972-03,124.234853
1972-04,126.569683
1972-05,133.950428
1972-06,134.462694
1972-07,141.438907
1972-08,143.188952
1972-09,143.158526
1972-10,145.280062
1972-11,154.457134
1972-12,161.958027
1973-01,168.911655
1973-02,186.072025
1973-03,187.4647
1973-04,173.519816
1973-05,177.256103
1973-06,183.018843
1973-07,183.791894
1973-08,174.528482
1973-09,172.185427
1973-10,175.10547
1973-11,150.022754
1973-12,144.296195
1974-01,147.014305
1974-02,150.362829
1974-03,151.85587
1974-04,153.939298
1974-05,150.111172
1974-06,144.823683
1974-07,137.704698
1974-08,124.585137
1974-09,116.477211
1974-10,116.771922
1974-11,124.404757
1974-12,122.369556
1975-01,137.18893
1975-02,151.424968
1975-03,152.176954
1975-04,155.752044
1975-05,152.889918
1975-06,151.220292
1975-07,144.996766
1975-08,140.601769
1975-09,132.959537
1975-10,145.216925
1975-11,150.030028
1975-12,152.197198
1976-01,158.401826
1976-02,158.038999
1976-03,156.904947
1976-04,155.835304
1976-05,154.341113
1976-06,157.278719
1976-07,155.959248
1976-08,157.502071
1976-09,157.520745
1976-10,149.116828
1976-11,148.674511
1976-12,162.3895
1977-01,158.116255
1977-02,161.379617
1977-03,160.700559
1977-04,165.052252
1977-05,163.116673
1977-06,166.27467
1977-07,163.622947
1977-08,167.805701
1977-09,170.303843
1977-10,174.779018
1977-11,175.227239
1977-12,180.251218
1978-01,184.294607
1978-02,189.321991
1978-03,204.986843
1978-04,203.083904
1978-05,206.076498
1978-06,217.832495
1978-07,235.847456
1978-08,240.076977
1978-09,247.899051
1978-10,263.539328
